Month,Sales
2000-01-01,266
2000-01-02,145.9
2000-01-03,183.1
2000-01-04,119.3
2000-01-05,180.3
2000-01-06,168.5
2000-01-07,231.8
2000-01-08,224.5
2000-01-09,192.8
2000-01-10,122.9
2000-01-11,336.5
2000-01-12,185.9
2001-01-02,194.3
2001-01-03,149.5
2001-01-04,210.1
2001-01-05,273.3
2001-01-06,191.4
2001-01-07,287
2001-01-08,226
2001-01-09,303.6
2001-01-10,289.9
2001-01-11,421.6
2001-01-12,264.5
2002-01-01,342.3
2002-01-02,339.7
2002-01-03,440.4
2002-01-04,315.9
2002-01-05,439.3
2002-01-06,401.3
2002-01-07,437.4
2002-01-08,575.5
2002-01-09,407.6
2002-01-10,682
2002-01-11,475.3
2002-01-12,581.3
2003-01-01,646.9
